project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
D000306001,Canada,Global Affairs Canada,Ghana,2014,2.0096,0.803838,Support to Child Protection Programme / Appui au Programme pour la protection des enfants,SUPPORT TO CHILD PROTECTION PROGRAMME / APPUI AU PROGRAMME POUR LA PROTECTION DES ENFANTS,"The project aims to better protect children from violence, exploitation, abuse, and discrimination by strengthening national child protection laws and policies, improving child and family welfare and justice services, and promoting positive and protective attitudes and behaviours towards children. The project includes: supporting the development of a National Child and Family Welfare Policy and a Juvenile Justice Policy; training child protection service providers on prevention measures and early child interventions; developing a revised social work curriculum; seeking the support of traditional and religious leaders for child protection, including child, early, and forced marriages; developing and implementing a comprehensive national birth registry with a specific focus on hard-to-reach northern areas; and helping the Domestic Violence and Victim Support Unit and selected courts become more child-friendly. The project focuses on the five most deprived regions of Ghana and expects to help 4.5 million children. / Le projet vise ‡ mieux protÈger les enfants contre la violence, l exploitation, la maltraitance et la discrimination en renforÁant les lois et les politiques sur la protection des enfants, en amÈliorant les services de justice et d aide ‡ l enfance et ‡ la famille, et en sensibilisant le public sur les attitudes et comportements positifs et protecteurs envers les enfants. Le projet appuiera le dÈveloppement d une politique nationale sur l aide sociale aux enfants et aux familles, ainsi qu une politique de justice juvÈnile; offrira de la formation aux fournisseurs de services de protection de l enfance en matiËre de prÈvention et d interventions auprËs des enfants en bas ‚ge. Le projet offrira Ègalement un appui ‡ l Èlaboration d un programme de travail social rÈvisÈ; travaillera avec les chefs traditionnels et religieux ‡ l Ègard de la protection des enfants, y compris la lutte contre le mariage prÈcoce et forcÈ; renforcera et mettra en oeuvre un registre national exhaustif des naissances en portant une attention particuliËre aux rÈgions du nord qui sont difficilement accessibles, et finalement, formera les intervenant des unitÈs de soutien aux victimes et de lutte contre la violence domestique du service de police du Ghana et les magistrats de certains tribunaux ‡ Ítre plus favorables aux enfants. Le projet se concentrera sur les cinq rÈgions les plus dÈfavorisÈes du Ghana et atteindra plus de 4,5 millions d enfants vulnÈrables."
D000402001,Canada,Global Affairs Canada,Tanzania,2014,9.05223,0,Scaling-up Birth Registration Using Innovative Technology / Augmenter l enregistrement des naissances au moyen d une technologie novatrice,SCALING-UP BIRTH REGISTRATION USING INNOVATIVE TECHNOLOGY / AUGMENTER L ENREGISTREMENT DES NAISSANCES AU MOYEN D UNE TECHNOLOGIE NOVATRICE,"This project aims to register and issue birth certificates to 3.5 million girls and boys under the age of five (including 90% of newborns and 70% of previously unregistered children) in ten regions of mainland Tanzania. Accurate birth registration allows the Government of Tanzania to effectively and efficiently plan for health, education, and child protection services and ensure that children have access to these services. The project supports the scaling up of an innovative birth registration system, which was developed by Tanzania s birth registration agency in partnership with Tigo (a mobile service provider). The system uses innovative technology that quickly uploads records of all birth registrations to a centralized system through text messages sent from mobile phones. This allows for real-time monitoring of birth registrations at national, regional and local levels and greatly simplifies the registration process.   Some project activities include: (1) training local government registration agents, specifically health workers and Ward Executive Officers; (2) entering into a public-private partnership with key mobile service providers operating in the ten regions; (3) conducting public awareness campaigns to support the implementation of the new birth registration system in each region; (4) assisting the Government of Tanzania to finalize the new Birth and Death Registration law; (5) coordinating an inter-ministerial committee on civil registration and vital statistics; and (6) training a core team of national facilitators to scale up the new birth registration system across mainland Tanzania. / Le projet a pour objectif d enregistrer la naissance de 3,5 millions de filles et de garÁons ‚gÈs de moins de cinq ans (dont 90 p. 100 des nouveau-nÈs et 70 p. 100 des enfants non enregistrÈs) et de dÈlivrer des actes de naissance pour ces derniers dans dix rÈgions de la Tanzanie continentale. L enregistrement exact des naissances permet au gouvernement de la Tanzanie de planifier de faÁon efficace et efficiente les services de santÈ, d Èducation et de protection de l enfance et de faire en sorte que les enfants aient accËs ‡ ces services. Le projet appuie la mise ‡ niveau d un systËme novateur d enregistrement des naissances conÁu par l organisme d enregistrement des naissances de la Tanzanie en collaboration avec Tigo (fournisseur de services mobiles). Le systËme fait appel ‡ une technologie novatrice qui tÈlÈcharge rapidement tous les actes de naissance dans un systËme centralisÈ au moyen de messages textes envoyÈs par tÈlÈphone mobile. Il devient ainsi possible de surveiller en temps rÈel les enregistrements de naissances ‡ l Èchelon national, rÈgional et local, ce qui simplifie grandement le processus d enregistrement.   Les activitÈs du projet comprennent : 1) la formation d agents d enregistrement au sein des administrations municipales, particuliËrement les professionnels de la santÈ et les responsables administratifs; 2) la conclusion de par"
2400/A0/05/003/002,UNICEF,UNICEF,Kenya,2014,0.036941,0.036941,OUTPUT 2 : BIRTH REGISTRATION,OUTPUT 2 : BIRTH REGISTRATION,OUTPUT 2 : BIRTH REGISTRATION
1620/A0/04/001/005,UNICEF,UNICEF,Ghana,2014,0.104349,0.104349,OUTPUT 005 BIRTH REGISTRATION,OUTPUT 005 BIRTH REGISTRATION,OUTPUT 005 BIRTH REGISTRATION
6850/A0/03/001/016,UNICEF,UNICEF,Guinea-Bissau,2014,0.019726,0.019726,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
1860/A0/05/002/003,UNICEF,UNICEF,Honduras,2014,0.026923,0.026923,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
6890/A0/05/402/007,UNICEF,UNICEF,Mozambique,2014,0.203356,0.203356,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
2250/A0/05/009/020,UNICEF,UNICEF,CÙte d'Ivoire,2014,0.007369,0.007369,3.2.3 BIRTH REGISTRATION,3.2.3 BIRTH REGISTRATION,3.2.3 BIRTH REGISTRATION
201406099,Germany,Bundesministerium f¸r Wirtschaftliche Zusammenarbeit und Entwicklung,Mozambique,2014,0.143791,0.0568595,"Strengthening human rights of underprivileged population through enhancing civil registrations in Matola and Beira, Mocambique","STRENGTHENING HUMAN RIGHTS OF UNDERPRIVILEGED POPULATION THROUGH ENHANCING CIVIL REGISTRATIONS IN MATOLA AND BEIRA, MOCAMBIQUE","Strengthening human rights of underprivileged population through enhancing civil registrations in Matola and Beira, Mocambique"
4380/A0/04/107/002,UNICEF,UNICEF,Uganda,2014,0.439171,0.439171,IR 3.2 BIRTH REGISTRATION,IR 3.2 BIRTH REGISTRATION,IR 3.2 BIRTH REGISTRATION
1410/A0/05/304/001,UNICEF,UNICEF,Ethiopia,2014,0.032568,0.032568,001  CIVIL REGISTRATION ACT,001  CIVIL REGISTRATION ACT,001  CIVIL REGISTRATION ACT
SCR.CTR.296204,EU Institutions,European Commission,Kosovo,2014,0,0.189331,Data processing of Civil Registry Books,DATA PROCESSING OF CIVIL REGISTRY BOOKS,"The overall objective of the Project is to contribute towards a reliable and efficient civil registry service in Kosovo by contributing towards reliable and efficient record keeping of personal data of citizens and protection of their rights and freedoms. It is expected that the successful transfer of personal data, birth, death and marriage registers from Nis to Pristina will be achieved."
1410/A0/05/005/005,UNICEF,UNICEF,Ethiopia,2014,0.000897,0.000897,005 BIRTH REGISTRATION,005 BIRTH REGISTRATION,005 BIRTH REGISTRATION
D000168001,Canada,Global Affairs Canada,"America, regional",2014,5.43134,1.6294,Canadian Fund for Civil Registration in Latin America and the Caribbean / Fonds canadien pour l enregistrement civil en AmÈrique Latine et dans les Ca,CANADIAN FUND FOR CIVIL REGISTRATION IN LATIN AMERICA AND THE CARIBBEAN / FONDS CANADIEN POUR L ENREGISTREMENT CIVIL EN AM…RIQUE LATINE ET DANS LES CA,"The purpose of this project is to better protect children and other vulnerable persons in Latin America and the Caribbean by supporting the birth registration of two million children under the age of five, thereby facilitating people s access to a legal identity. The project reinforces national registrars so they can register 95% of newborns each year and improve service delivery to vulnerable unregistered children in target countries. A birth certificate allows children to access health services and education, giving them the opportunity to achieve their full potential as active and productive citizens. Children are the primary beneficiaries of the project, but some activities are also aimed at vulnerable unregistered adults.   Project activities include the following: (1) improving governments  capacity to design and apply policies to facilitate inclusive civil registration, by developing national work plans, training registrars and providing technical assistance to the selected national governments; (2) improving registrars  capacity to register unregistered children in a timely and secure manner and to educate unregistered persons about their civil registration rights and responsibilities, by implementing tools to measure the level of service delivery to children, training officials in delivering services to everyone, and modernizing technological equipment to better protect personal information; (3) building governments  capacity to use international standards in managing civil registries and to recognize identity documents from other countries, by sharing best practices, training employees and translating key documents for dissemination.   The project is in keeping with Canada s priorities for strengthening child protection and supporting maternal, newborn and child health. / Ce projet vise ‡ amÈliorer la protection des enfants et d autres personnes vulnÈrables en AmÈrique latine et dans les CaraÔbes par un appui ‡ l enregistrement des naissances de deux millions d enfants de moins de cinq ans, facilitant l accËs des personnes ‡ une identitÈ juridique. Le projet renforce les registraires nationaux afin d enregistrer 95 % des nouveau-nÈs chaque annÈe et d amÈliorer la prestation des services aux enfants vulnÈrables non enregistrÈs dans les pays ciblÈs. Un certificat de naissance permet aux enfants de bÈnÈficier d un accËs aux services de santÈ et ‡ l Èducation, leur offrant l opportunitÈ d atteindre leur plein potentiel en tant que citoyens actifs et productifs. Les enfants sont les bÈnÈficiaires primaires du projet, mais certaines activitÈs s adressent Ègalement aux adultes vulnÈrables non enregistrÈs.   Parmi les activitÈs du projet : 1) accroÓtre la capacitÈ des gouvernements ‡ concevoir et appliquer des politiques pour faciliter l enregistrement civil inclusif par l Èlaboration de plans de travail nationaux, la formation aux registraires et de l assistance technique aux gouvernements nationaux sÈlectionnÈs; 2) accroÓtre la capacitÈ des r"
M013622001,Canada,Global Affairs Canada,Senegal,2014,2.26306,2.26306,"Innovative Approaches to Birth Registration for Maternal, Newborn and Child Health / Enregistrement des naissances pour la santÈ des mËres, des nouvea","INNOVATIVE APPROACHES TO BIRTH REGISTRATION FOR MATERNAL, NEWBORN AND CHILD HEALTH / ENREGISTREMENT DES NAISSANCES POUR LA SANT… DES M»RES, DES NOUVEA","This project seeks to increase the registration of children under the age of five, and improve the availability, quality, timeliness, and use of health information to assist in the planning of effective activities to improve maternal, newborn and child health (MNCH). The project also seeks to improve the availability and quality of information on child mortality to better inform planning and resource allocation, and increase accountability to MNCH efforts. The project assists developing countries to increase number of birth registrations by addressing access barriers, including reaching those who live in rural areas by mobilizing community health workers in the birth registration process. The project also seeks to use innovations, such as SMS technologies, to increase the number of births being registered.   This initiative supports two key recommendations from the United Nations Commission on Information and Accountability for Women and Children s Health: (i) to take significant steps to establish a system for registration of births, deaths and causes of death, and have well-functioning health information systems; and (ii) to integrate the use of information and communication technologies in national health management information systems and health infrastructure. / Ce projet vise ‡ accroÓtre le nombre d enfants de moins de cinq ans dont la naissance est enregistrÈe et ‡ amÈliorer la disponibilitÈ, la qualitÈ, la rapiditÈ et l utilisation de l information sanitaire pour appuyer la planification d activitÈs efficaces visant ‡ amÈliorer la santÈ des mËres, des nouveau-nÈs et des enfants (SMNE). Le projet vise Ègalement ‡ amÈliorer la disponibilitÈ et la qualitÈ de l information sur la mortalitÈ infantile de faÁon ‡ mieux Èclairer la planification et l affectation des ressources, ainsi qu ‡ augmenter la responsabilitÈ pour les efforts relatifs ‡ la SMNE. Le projet aide les pays en dÈveloppement ‡ accroÓtre le nombre d enregistrements des naissances en s attaquant aux obstacles ‡ l accËs, notamment en rejoignant les populations qui vivent en rÈgions rurales en mobilisant les travailleurs en santÈ communautaire dans le cadre du processus d enregistrement des naissances. Le projet vise Ègalement ‡ utiliser des technologies novatrices, comme les messages texte, de faÁon ‡ accroÓtre le nombre de naissances enregistrÈes.   Cette initiative va dans le sens de deux recommandations majeures de la Commission de l information et de la responsabilisation en matiËre de santÈ de la femme et de l enfant : i) prendre des mesures vigoureuses pour Ètablir un systËme d enregistrement des naissances et des dÈcËs (et des causes de la mortalitÈ) et pour disposer de systËmes d information sur la santÈ qui fonctionnent bien; ii) intÈgrer l utilisation des technologies de l information et des communications dans les systËmes nationaux de gestion de l information sur la santÈ et les infrastructures sanitaires."
M013622001,Canada,Global Affairs Canada,South Sudan,2014,2.26306,2.26306,"Innovative Approaches to Birth Registration for Maternal, Newborn and Child Health / Enregistrement des naissances pour la santÈ des mËres, des nouvea","INNOVATIVE APPROACHES TO BIRTH REGISTRATION FOR MATERNAL, NEWBORN AND CHILD HEALTH / ENREGISTREMENT DES NAISSANCES POUR LA SANT… DES M»RES, DES NOUVEA","This project seeks to increase the registration of children under the age of five, and improve the availability, quality, timeliness, and use of health information to assist in the planning of effective activities to improve maternal, newborn and child health (MNCH). The project also seeks to improve the availability and quality of information on child mortality to better inform planning and resource allocation, and increase accountability to MNCH efforts. The project assists developing countries to increase number of birth registrations by addressing access barriers, including reaching those who live in rural areas by mobilizing community health workers in the birth registration process. The project also seeks to use innovations, such as SMS technologies, to increase the number of births being registered.   This initiative supports two key recommendations from the United Nations Commission on Information and Accountability for Women and Children s Health: (i) to take significant steps to establish a system for registration of births, deaths and causes of death, and have well-functioning health information systems; and (ii) to integrate the use of information and communication technologies in national health management information systems and health infrastructure. / Ce projet vise ‡ accroÓtre le nombre d enfants de moins de cinq ans dont la naissance est enregistrÈe et ‡ amÈliorer la disponibilitÈ, la qualitÈ, la rapiditÈ et l utilisation de l information sanitaire pour appuyer la planification d activitÈs efficaces visant ‡ amÈliorer la santÈ des mËres, des nouveau-nÈs et des enfants (SMNE). Le projet vise Ègalement ‡ amÈliorer la disponibilitÈ et la qualitÈ de l information sur la mortalitÈ infantile de faÁon ‡ mieux Èclairer la planification et l affectation des ressources, ainsi qu ‡ augmenter la responsabilitÈ pour les efforts relatifs ‡ la SMNE. Le projet aide les pays en dÈveloppement ‡ accroÓtre le nombre d enregistrements des naissances en s attaquant aux obstacles ‡ l accËs, notamment en rejoignant les populations qui vivent en rÈgions rurales en mobilisant les travailleurs en santÈ communautaire dans le cadre du processus d enregistrement des naissances. Le projet vise Ègalement ‡ utiliser des technologies novatrices, comme les messages texte, de faÁon ‡ accroÓtre le nombre de naissances enregistrÈes.   Cette initiative va dans le sens de deux recommandations majeures de la Commission de l information et de la responsabilisation en matiËre de santÈ de la femme et de l enfant : i) prendre des mesures vigoureuses pour Ètablir un systËme d enregistrement des naissances et des dÈcËs (et des causes de la mortalitÈ) et pour disposer de systËmes d information sur la santÈ qui fonctionnent bien; ii) intÈgrer l utilisation des technologies de l information et des communications dans les systËmes nationaux de gestion de l information sur la santÈ et les infrastructures sanitaires."
M013622001,Canada,Global Affairs Canada,Mali,2014,2.26306,2.26306,"Innovative Approaches to Birth Registration for Maternal, Newborn and Child Health / Enregistrement des naissances pour la santÈ des mËres, des nouvea","INNOVATIVE APPROACHES TO BIRTH REGISTRATION FOR MATERNAL, NEWBORN AND CHILD HEALTH / ENREGISTREMENT DES NAISSANCES POUR LA SANT… DES M»RES, DES NOUVEA","This project seeks to increase the registration of children under the age of five, and improve the availability, quality, timeliness, and use of health information to assist in the planning of effective activities to improve maternal, newborn and child health (MNCH). The project also seeks to improve the availability and quality of information on child mortality to better inform planning and resource allocation, and increase accountability to MNCH efforts. The project assists developing countries to increase number of birth registrations by addressing access barriers, including reaching those who live in rural areas by mobilizing community health workers in the birth registration process. The project also seeks to use innovations, such as SMS technologies, to increase the number of births being registered.   This initiative supports two key recommendations from the United Nations Commission on Information and Accountability for Women and Children s Health: (i) to take significant steps to establish a system for registration of births, deaths and causes of death, and have well-functioning health information systems; and (ii) to integrate the use of information and communication technologies in national health management information systems and health infrastructure. / Ce projet vise ‡ accroÓtre le nombre d enfants de moins de cinq ans dont la naissance est enregistrÈe et ‡ amÈliorer la disponibilitÈ, la qualitÈ, la rapiditÈ et l utilisation de l information sanitaire pour appuyer la planification d activitÈs efficaces visant ‡ amÈliorer la santÈ des mËres, des nouveau-nÈs et des enfants (SMNE). Le projet vise Ègalement ‡ amÈliorer la disponibilitÈ et la qualitÈ de l information sur la mortalitÈ infantile de faÁon ‡ mieux Èclairer la planification et l affectation des ressources, ainsi qu ‡ augmenter la responsabilitÈ pour les efforts relatifs ‡ la SMNE. Le projet aide les pays en dÈveloppement ‡ accroÓtre le nombre d enregistrements des naissances en s attaquant aux obstacles ‡ l accËs, notamment en rejoignant les populations qui vivent en rÈgions rurales en mobilisant les travailleurs en santÈ communautaire dans le cadre du processus d enregistrement des naissances. Le projet vise Ègalement ‡ utiliser des technologies novatrices, comme les messages texte, de faÁon ‡ accroÓtre le nombre de naissances enregistrÈes.   Cette initiative va dans le sens de deux recommandations majeures de la Commission de l information et de la responsabilisation en matiËre de santÈ de la femme et de l enfant : i) prendre des mesures vigoureuses pour Ètablir un systËme d enregistrement des naissances et des dÈcËs (et des causes de la mortalitÈ) et pour disposer de systËmes d information sur la santÈ qui fonctionnent bien; ii) intÈgrer l utilisation des technologies de l information et des communications dans les systËmes nationaux de gestion de l information sur la santÈ et les infrastructures sanitaires."
